rank,bb_length,mult,total_sigma,total_trades,tp_exits,opposite_exits,tp_rate,wins,losses,win_rate,total_pnl_usd,avg_pnl_per_trade,best_trade,worst_trade,profit_factor,avg_hold_bars,symbols_traded,max_concurrent_positions,avg_positions_per_signal
1,5,5.0,7.5,33,30,3,90.91,30,3,90.91,0.95,0.0289,0.0772,-0.145,6.67,6.0,26,2,1.3
2,10,5.0,7.5,10,10,0,100.0,10,0,100.0,0.39,0.0394,0.0644,0.0207,inf,2.3,8,1,1.2
3,5,6.0,9.0,13,11,2,84.62,11,2,84.62,0.37,0.0284,0.0772,-0.0143,21.79,3.5,13,1,1.0
4,10,6.0,9.0,5,5,0,100.0,5,0,100.0,0.18,0.0366,0.0644,0.0207,inf,3.6,5,1,1.0
