rank,bb_length,mult,total_sigma,total_trades,tp_exits,opposite_exits,tp_rate,wins,losses,win_rate,total_pnl_usd,avg_pnl_per_trade,profit_factor,symbols_traded,max_concurrent_positions,avg_positions_per_signal
67,35,3.0,4.5,2562,2272,290,88.68,2272,290,88.68,-183.8,-0.0717,7.8345,351,6,7.3
68,40,3.0,4.5,2457,2163,294,88.03,2163,294,88.03,-204.03,-0.083,7.3571,353,7,7.0
69,10,3.0,4.5,6097,5253,844,86.16,5254,843,86.17,-209.72,-0.0344,6.2325,412,12,14.8
70,5,3.0,4.5,14222,10963,3259,77.08,10995,3227,77.31,-250.69,-0.0176,3.4072,422,14,33.7
71,25,2.5,3.75,7760,6656,1104,85.77,6656,1104,85.77,-559.99,-0.0722,6.029,410,9,18.9
72,20,2.5,3.75,8727,7422,1305,85.05,7423,1304,85.06,-566.39,-0.0649,5.6925,419,15,20.8
73,50,2.5,3.75,5590,4797,793,85.81,4797,793,85.81,-570.68,-0.1021,6.0492,381,13,14.7
74,45,2.5,3.75,5903,5057,846,85.67,5057,846,85.67,-595.91,-0.1009,5.9775,388,12,15.2
75,40,2.5,3.75,6380,5455,925,85.5,5455,925,85.5,-610.81,-0.0957,5.8973,400,10,15.9
76,30,2.5,3.75,7378,6270,1108,84.98,6271,1107,85.0,-646.52,-0.0876,5.6649,411,10,18.0
77,15,2.5,3.75,10435,8634,1801,82.74,8638,1797,82.78,-646.81,-0.062,4.8069,417,15,25.0
78,35,2.5,3.75,6868,5823,1045,84.78,5823,1045,84.78,-654.34,-0.0953,5.5722,404,9,17.0
79,10,2.5,3.75,14710,11704,3006,79.56,11707,3003,79.59,-723.38,-0.0492,3.8984,425,16,34.6
80,5,2.5,3.75,30469,21062,9407,69.13,21136,9333,69.37,-831.09,-0.0273,2.2647,426,17,71.5
81,25,2.0,3.0,22599,17924,4675,79.31,17931,4668,79.34,-1882.61,-0.0833,3.8413,424,22,53.3
82,30,2.0,3.0,21130,16865,4265,79.82,16871,4259,79.84,-1949.25,-0.0923,3.9613,421,22,50.2
83,35,2.0,3.0,19779,15927,3852,80.52,15929,3850,80.53,-1960.26,-0.0991,4.1374,417,24,47.4
84,50,2.0,3.0,16287,13223,3064,81.19,13226,3061,81.21,-1988.83,-0.1221,4.3208,403,29,40.4
85,45,2.0,3.0,17120,13922,3198,81.32,13925,3195,81.34,-1993.7,-0.1165,4.3584,409,24,41.9
86,40,2.0,3.0,18424,14874,3550,80.73,14878,3546,80.75,-2013.08,-0.1093,4.1957,415,26,44.4
87,15,2.0,3.0,29215,21989,7226,75.27,21996,7219,75.29,-2057.96,-0.0704,3.047,425,20,68.7
88,20,2.0,3.0,25258,19551,5707,77.41,19557,5701,77.43,-2067.35,-0.0818,3.4305,426,21,59.3
89,10,2.0,3.0,37447,26268,11179,70.15,26288,11159,70.2,-2204.72,-0.0589,2.3558,426,23,87.9
90,5,2.0,3.0,64683,37241,27442,57.57,37428,27255,57.86,-2282.89,-0.0353,1.3733,426,22,151.8
